judul_lagu,artis,genre,valence,energy,danceability,tempo,acousticness,popularity,genre_utama,mood,tokens,cluster
Pratham Tula Vandito,Vasantrao Deshpande,classical,0.665,0.426,0.284,76.365,0.984,40,Classical & Ambient,Groovy,pratham tula vandito,1
Scarborough Fair,Celtic Woman,opera,0.102,0.233,0.247,123.097,0.914,52,Classical & Ambient,Sad,scarborough fair,1
Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini;Academy of St. Martin in the Fields;Sir Neville Marriner,opera,0.285,0.14,0.322,92.122,0.906,51,Classical & Ambient,Sad,il barbiere siviglia overture sinfonia,1
"Gold Can Turn to Sand (from ""Kristina"")",Josh Groban,opera,0.136,0.342,0.335,125.625,0.803,26,Classical & Ambient,Sad,gold turn sand kristina,1
Con Moto,Hania Rani;Dobrawa Czocher,ambient,0.613,0.366,0.494,145.047,0.939,0,Classical & Ambient,Calm,con moto,1
Four Contredanses K.267: No. 1 in G,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,classical,0.762,0.207,0.537,141.911,0.976,8,Classical & Ambient,Calm,four contredanses,1
"Concerto grosso in G Minor, Op. 6, No. 8, ""Fatto per la Notte di Natale"": III. Adagio - Allegro - Adagio",Arcangelo Corelli;The English Concert;Trevor Pinnock,classical,0.129,0.091,0.192,113.15,0.925,1,Classical & Ambient,Sad,concerto grosso minor op fatto per la notte natale iii adagio allegro adagio,1
Kiss The Rain,Yiruma,classical,0.182,0.0519,0.56,132.691,0.99,61,Classical & Ambient,Sad,kiss rain,1
A Mi Manera,Il Divo,opera,0.146,0.369,0.241,75.54,0.898,22,Classical & Ambient,Sad,mi manera,1
"8 Variations on ‘Ein Weib ist das herrlichste Ding’ by B. Schack in F, K.613: 2. Variation I",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.448,0.163,0.336,78.416,0.996,5,Classical & Ambient,Romantic,variations ein weib ist das herrlichste ding schack variation,1
Eleanor Plunkett,Órla Fallon,opera,0.226,0.192,0.369,85.364,0.986,0,Classical & Ambient,Sad,eleanor plunkett,1
Granada - Live From The Detroit Opera House,Il Volo,opera,0.37,0.558,0.224,82.58,0.86,23,Classical & Ambient,Melancholic,granada live detroit opera house,1
Surge propera amica mea,Emma Kirkby;David Thomas;Anthony Rooley;Trevor Jones,opera,0.191,0.0617,0.341,94.464,0.986,0,Classical & Ambient,Sad,surge propera amica mea,1
Piano Sonata D. 960 in B-Flat Major: II. Andante sostenuto,Franz Schubert;Burak Çebi,classical,0.0449,0.00409,0.297,68.863,0.995,0,Classical & Ambient,Sad,piano sonata flat major ii andante sostenuto,1
"9 Variations on a Minuet by J.P. Duport in D, K.573: 6. Variation V",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.89,0.11,0.537,124.812,0.991,3,Classical & Ambient,Calm,variations minuet duport variation,1
Six Contredanses K. 462: No. 4 in D Major,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,classical,0.384,0.139,0.56,123.669,0.841,8,Classical & Ambient,Sad,six contredanses major,1
Written on the Sky,Max Richter,ambient,0.181,0.119,0.349,136.278,0.993,58,Classical & Ambient,Sad,written sky,1
Guiding Light - Solo Piano Version,Alexis Ffrench,ambient,0.233,0.0324,0.314,68.246,0.986,24,Classical & Ambient,Sad,guiding light solo piano version,1
Pieces - Live,Bethel Music;Steffany Gretzinger,ambient,0.05,0.396,0.128,71.965,0.0561,53,Classical & Ambient,Sad,pieces live,1
Leja Leja,Sultan Khan;Shreya Ghoshal;Salim Merchant,classical,0.341,0.743,0.603,100.021,0.728,45,Classical & Ambient,Energetic,leja leja,1
Welcome to the Jungle,Novo Amor,ambient,0.0657,0.313,0.457,128.882,0.97,44,Classical & Ambient,Sad,welcome jungle,1
Lied der Freiheit,Nana Mouskouri;Alain Goraguer Et Son Orchestre,opera,0.172,0.297,0.252,104.224,0.958,22,Classical & Ambient,Sad,lied der freiheit,1
Gaîté parisienne: No. 23: Barcarolle,Jacques Offenbach;Arthur Fiedler;Boston Pops Orchestra,opera,0.128,0.104,0.203,100.78,0.851,21,Classical & Ambient,Sad,gaite parisienne barcarolle,1
"La favorite, Act IV: “Spirto Gentil“ (Fernand)",Alfredo Kraus;Symphony Orchestra of Madrid;Kurt Sanderling,opera,0.0725,0.204,0.285,96.17,0.987,0,Classical & Ambient,Sad,la favorite act iv spirto gentil fernand,1
Ya Vstretil Vas...,Dmitri Hvorostovsky,opera,0.0888,0.203,0.167,178.579,0.983,19,Classical & Ambient,Sad,vstretil vas,1
Galileo (Someone Like You),Josh Groban,opera,0.167,0.271,0.275,85.31,0.885,24,Classical & Ambient,Sad,galileo someone,1
"Lyric Pieces VIII, Op. 65: No. 6, Bryllupsdag på Troldhaugen",Edvard Grieg;Una Bourne,classical,0.189,0.23,0.331,82.51,0.978,0,Classical & Ambient,Sad,lyric pieces viii op bryllupsdag pa troldhaugen,1
"Divertimento in D Major, K. 334: III. Menuetto - Trio (Arr. S. Palmgren for Piano Solo)",Wolfgang Amadeus Mozart;Una Bourne,classical,0.511,0.123,0.278,78.59,0.993,0,Classical & Ambient,Romantic,divertimento major iii menuetto trio arr palmgren piano solo,1
Black Water,Apparat,ambient,0.0792,0.588,0.324,89.826,0.223,44,Classical & Ambient,Melancholic,black water,1
Away In A Manger,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,opera,0.235,0.144,0.517,87.994,0.895,0,Classical & Ambient,Sad,away manger,1
"Albinoni: Concerto a cinque in G Minor, Op. 10 No. 2: II. Andante",Tomaso Albinoni;Claudio Scimone;I Solisti Veneti,opera,0.276,0.229,0.222,105.289,0.966,20,Classical & Ambient,Sad,albinoni concerto cinque minor op ii andante,1
"Turandot, SC 91 / Act 3: Nessun dorma",Giacomo Puccini;Freddie De Tommaso;Apollo Voices;Philharmonia Orchestra;Paolo Arrivabeni,opera,0.0697,0.24,0.249,71.431,0.979,45,Classical & Ambient,Sad,turandot sc act nessun dorma,1
Notte Stellata (The Swan),Il Volo,opera,0.0843,0.191,0.198,82.335,0.943,25,Classical & Ambient,Sad,notte stellata swan,1
"Mazhai - From ""Kaalidas""",Sudha Ragunathan,classical,0.431,0.568,0.411,94.952,0.388,32,Classical & Ambient,Groovy,mazhai kaalidas,1
"Das Land des Lächelns / Act 2: ""Dein ist mein ganzes Herz"" - Live",Plácido Domingo;Orchestra Del Teatro Dell'Opera Di Roma;Orchestra del Maggio Musicale Fiorentino;Zubin Mehta,opera,0.249,0.467,0.141,88.226,0.966,18,Classical & Ambient,Melancholic,das land des lachelns act dein ist mein ganzes herz live,1
Por Siempre (Live),Bethel Music;kalley,ambient,0.125,0.697,0.336,138.122,3.07e-05,37,Classical & Ambient,Groovy,por siempre live,1
Lucia di Lammermoor - Quartetto dalla Lucia,Gaetano Donizetti;Vincenzo Ciliberti,opera,0.0629,0.591,0.213,88.024,0.976,0,Classical & Ambient,Melancholic,lucia lammermoor quartetto dalla lucia,1
Rasm -E- Ulfat Sikha Gaya Koi,Begum Akhtar,classical,0.526,0.281,0.371,123.141,0.822,32,Classical & Ambient,Romantic,rasm ulfat sikha gaya koi,1
Canta Pe' Me,Jonathan Antoine,opera,0.253,0.375,0.241,101.472,0.98,19,Classical & Ambient,Sad,canta pe,1
Napule puverella,Patrizio,opera,0.589,0.512,0.574,122.682,0.443,21,Classical & Ambient,Groovy,napule puverella,1
The End of All Our Exploring,Max Richter,ambient,0.124,0.0249,0.507,149.976,0.995,48,Classical & Ambient,Sad,end exploring,1
"Carnaval, Op. 9: No. 19, Promenade (Live in Japan, 2022)",Robert Schumann;Pavel Nersessian,classical,0.13,0.0316,0.445,67.165,0.994,0,Classical & Ambient,Sad,carnaval op promenade live japan,1
"Pirouettes in A- Major, Opéras comiques ""La fille de Madama Angot"", Act 1, Allegro-valse",Charles Lecocq;Konstantin Mortensen,opera,0.404,0.109,0.365,60.015,0.994,21,Classical & Ambient,Romantic,pirouettes major operas comiques la fille de madama angot act allegro valse,1
The Wandering Kind (Prelude),Josh Groban,opera,0.344,0.312,0.363,62.766,0.713,23,Classical & Ambient,Sad,wandering kind prelude,1
"Sonata for violin and piano, L. 140: III. Finale. Très animé",Claude Debussy;Andrzej Cieplinski;Tymoteusz Bies,classical,0.0985,0.111,0.348,136.303,0.982,2,Classical & Ambient,Sad,sonata violin piano iii finale tres anime,1
"12 German Dances, K. 586: No. 2 in G Major",Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,classical,0.813,0.125,0.464,153.056,0.919,1,Classical & Ambient,Calm,german dances major,1
Uthi Uthi Gopala,Kumar Gandharva,classical,0.46,0.274,0.576,93.754,0.953,33,Classical & Ambient,Romantic,uthi uthi gopala,1
"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265: 13. Variation XII",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.188,0.136,0.262,151.539,0.98,9,Classical & Ambient,Sad,variations major vous dirai je maman variation xii,1
Ghost Waltz,Abel Korzeniowski,ambient,0.162,0.25,0.148,171.567,0.906,51,Classical & Ambient,Sad,ghost waltz,1
"Fantaisie-Impromptu In C-Sharp Minor, Op. 66",Frédéric Chopin;Daniil Trifonov,classical,0.0561,0.0521,0.283,70.338,0.993,40,Classical & Ambient,Sad,fantaisie impromptu sharp minor op,1
"Am Tage aller Seelen, D. 343, ‘Litanei auf das Fest aller Seelen’",Franz Schubert;Harriet Krijgh;Magda Amara,classical,0.0431,0.0413,0.169,90.832,0.994,0,Classical & Ambient,Sad,am tage aller seelen litanei auf das fest aller seelen,1
Attila - Che più s'indugia,Giuseppe Verdi;Vincenzo Ciliberti,classical,0.216,0.318,0.318,96.803,0.929,0,Classical & Ambient,Sad,attila che piu indugia,1
"Piano Concerto No. 4 in G Major, Op. 58: III. Rondo. Vivace",Ludwig van Beethoven;Krystian Zimerman;London Symphony Orchestra;Sir Simon Rattle,classical,0.107,0.156,0.325,142.451,0.956,0,Classical & Ambient,Sad,piano concerto major op iii rondo vivace,1
"La bohème, SC 67 / Act 2: ""Viva Parpignol..."" - ""Una cuffietta a pizzi""",Giacomo Puccini;Rolando Panerai;Mirella Freni;Gianni Maffeo;Nicolai Ghiaurov;Luciano Pavarotti;Berliner Philharmoniker;Herbert von Karajan,opera,0.224,0.345,0.363,110.421,0.973,27,Classical & Ambient,Sad,la boheme sc act viva parpignol una cuffietta pizzi,1
River Flows in You - Orchestra Version,Yiruma,classical,0.0398,0.201,0.0863,74.351,0.915,57,Classical & Ambient,Sad,river flows orchestra version,1
"12 Variations on a Minuet by J.C. Fischer in C, K.179: 12a. Variation XI: Adagio - Pt. 1",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.481,0.0409,0.493,79.19,0.993,3,Classical & Ambient,Romantic,variations minuet fischer variation xi adagio pt,1
Raise a Hallelujah - Live,Bethel Music;Jonathan David Helser;Melissa Helser,ambient,0.291,0.866,0.452,81.972,0.0041,63,Classical & Ambient,Dark,raise hallelujah live,1
"La bohème, SC 67 / Act 4: ""O Mimì, tu più non torni"" (Duetto) - ""Che ora sia""",Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Gianni Maffeo;Nicolai Ghiaurov;Berliner Philharmoniker;Herbert von Karajan,opera,0.2,0.211,0.28,76.909,0.962,25,Classical & Ambient,Sad,la boheme sc act mimi tu piu non torni duetto che ora sia,1
Amor Venme a Buscar,Il Divo,opera,0.0852,0.419,0.422,137.409,0.655,20,Classical & Ambient,Melancholic,amor venme buscar,1
Music Proibita - Live From The Detroit Opera House,Il Volo,opera,0.178,0.338,0.267,131.111,0.962,21,Classical & Ambient,Sad,music proibita live detroit opera house,1
"Gianni Schicchi: ""O, mio babbino caro"" - Live In London / 1994",Giacomo Puccini;Kiri Te Kanawa;London Symphony Orchestra;Stephen Barlow,opera,0.0378,0.135,0.21,95.745,0.984,27,Classical & Ambient,Sad,gianni schicchi mio babbino caro live london,1
Opera House,Cigarettes After Sex,ambient,0.0708,0.291,0.361,115.999,0.722,60,Classical & Ambient,Sad,opera house,1
Mi manchi,Andrea Bocelli;Kenny G,opera,0.115,0.353,0.273,138.744,0.795,44,Classical & Ambient,Sad,mi manchi,1
Carnival of the Animals: The Swan,Camille Saint-Saëns;Isata Kanneh-Mason;Jeneba Kanneh-Mason;Sheku Kanneh-Mason,classical,0.0384,0.0656,0.213,65.023,0.992,0,Classical & Ambient,Sad,carnival animals swan,1
Make You Feel My Love,Military Wives,opera,0.0874,0.17,0.464,77.005,0.893,22,Classical & Ambient,Sad,make feel love,1
My Friends / The Ballad of Sweeney Todd,Michael Ball;Imelda Staunton;The 2012 London Cast of Sweeney Todd,opera,0.113,0.248,0.357,125.316,0.846,21,Classical & Ambient,Sad,friends ballad sweeney todd,1
"La rondine, SC 83: Chi il bel sogno di Doretta",Giacomo Puccini;Renée Fleming;English Chamber Orchestra;Jeffrey Tate,classical,0.0374,0.136,0.234,85.418,0.97,1,Classical & Ambient,Sad,la rondine sc chi il bel sogno doretta,1
"Les fêtes d'Hébé, RCT 41, Act I Scene 5: Revenez, tendre amant, embellissez ces lieux",Jean-Philippe Rameau;Lóránt Najbauer;Purcell Choir;Orfeo Orchestra;Gyorgy Vashegyi,opera,0.21,0.135,0.25,95.505,0.973,20,Classical & Ambient,Sad,les fetes hebe rct act scene revenez tendre amant embellissez ces lieux,1
Touch of Heaven / Alabaster Heart - Live,Bethel Music;David Funk,ambient,0.14,0.554,0.388,135.078,0.0131,49,Classical & Ambient,Melancholic,touch heaven alabaster heart live,1
I'll Be Home For Christmas,Michael Ball;Alfie Boe,opera,0.068,0.327,0.129,82.686,0.697,0,Classical & Ambient,Sad,ll home christmas,1
Saudade (When We Are Born),Ólafur Arnalds,ambient,0.138,0.0253,0.289,99.801,0.994,60,Classical & Ambient,Sad,saudade born,1
Night Walk,Gavin Luke,ambient,0.388,0.128,0.249,170.246,0.978,46,Classical & Ambient,Sad,night walk,1
"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 1. Theme : Andante",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.285,0.111,0.547,120.777,0.994,13,Classical & Ambient,Sad,variations lison dormait julie dezede theme andante,1
Too Good To Not Believe - Live,Bethel Music;Brandon Lake,ambient,0.237,0.734,0.355,143.964,0.00177,55,Classical & Ambient,Dark,too good believe live,1
"Rossini: Armida, Act 2: ""D'amore al dolce impero"" (Armida, Chorus) [Live]",Gioachino Rossini;Maria Callas;Tullio Serafin;Orchestra del Maggio Musicale Fiorentino,opera,0.182,0.336,0.209,71.943,0.994,21,Classical & Ambient,Sad,rossini armida act amore al dolce impero armida chorus live,1
"Piano Sonata No. 12 in F Major, K. 332: I. Allegro",Wolfgang Amadeus Mozart;Michael Wessel,classical,0.413,0.0743,0.421,142.151,0.993,0,Classical & Ambient,Romantic,piano sonata major allegro,1
"Nocturne In C-Sharp Minor, Op. Posth.",Frédéric Chopin;Dang Thai Son,classical,0.206,0.0309,0.211,73.82,0.988,0,Classical & Ambient,Sad,nocturne sharp minor op posth,1
Ne Vupiri Ne Sonthama,Ramakrishnan Murthy,classical,0.211,0.319,0.498,82.955,0.672,34,Classical & Ambient,Sad,ne vupiri ne sonthama,1
"Upp gledjest alle, gledjest no",Sissel;Odd Nordstoga,opera,0.329,0.307,0.44,127.374,0.894,20,Classical & Ambient,Sad,upp gledjest alle gledjest,1
Sarai qui,Alessandro Safina;Sarah Brightman,opera,0.144,0.509,0.394,120.044,0.737,23,Classical & Ambient,Melancholic,sarai qui,1
Still Life - Solo Piano Version,Alexis Ffrench,ambient,0.155,0.0256,0.239,67.112,0.991,30,Classical & Ambient,Sad,still life solo piano version,1
Suantrai (Brahms Lullaby),Órla Fallon,opera,0.208,0.0808,0.332,79.276,0.989,24,Classical & Ambient,Sad,suantrai brahms lullaby,1
Dies Irae,Giuseppe Verdi;Carmen Giannattasio;Veronica Simeoni;Alxander Timchenko;Carlo Colombara;Yuri Temirkanov;St. Petersburg Philharmonic Orchestra,opera,0.24,0.346,0.272,79.773,0.926,55,Classical & Ambient,Sad,dies irae,1
Alhaiya in France,Niladri Kumar,classical,0.141,0.417,0.333,75.472,0.958,31,Classical & Ambient,Melancholic,alhaiya france,1
"6 German Dances, K. 509: No. 2 in G Major",Wolfgang Amadeus Mozart;London Symphony Orchestra;Peter Maag,classical,0.203,0.075,0.473,128.892,0.954,15,Classical & Ambient,Sad,german dances major,1
"Piano Concerto No. 8 in C Major, K. 246 ""Lützow"": II. Andante",Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Alceo Galliera,classical,0.0983,0.0511,0.282,70.14,0.988,6,Classical & Ambient,Sad,piano concerto major lutzow ii andante,1
When Christmas Comes To Town,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,opera,0.326,0.162,0.377,97.211,0.896,0,Classical & Ambient,Sad,christmas comes town,1
"Komm, Jesu, komm, BWV 229: I. Komm, Jesu, komm",Johann Sebastian Bach;The Norwegian Soloists' Choir;Grete Pedersen;Kate Hearne;Joakim Peterson;Christian Kjos,classical,0.127,0.13,0.243,102.702,0.983,1,Classical & Ambient,Sad,komm jesu komm bwv komm jesu komm,1
"Verdi: Aida, Act 2: ""Gloria all'Egitto, ad Iside"" (Coro)","Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Trumpeters of the Royal Military School of Music;New Philharmonia Orchestra",opera,0.218,0.279,0.26,92.906,0.981,25,Classical & Ambient,Sad,verdi aida act gloria egitto ad iside coro,1
"Piano Sonata No. 17 in B-Flat Major, K. 570: I. Allegro",Wolfgang Amadeus Mozart;Ingrid Haebler,classical,0.6,0.091,0.37,135.595,0.995,4,Classical & Ambient,Calm,piano sonata flat major allegro,1
Mille Lune Mille Onde - Live,Andrea Bocelli,opera,0.334,0.602,0.51,109.933,0.556,20,Classical & Ambient,Groovy,mille lune mille onde live,1
"Années de pèlerinage: 1e année: Suisse, S.160: 2. Au lac de Wallenstadt",Franz Liszt;Nelson Freire,classical,0.0622,0.0191,0.29,65.461,0.985,0,Classical & Ambient,Sad,annees de pelerinage annee suisse au lac de wallenstadt,1
"8 Variations on ‘Dieu d'amour’ from ‘Les mariages samnites’ by Grétry in F, K.352: 3. Variation II",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.619,0.124,0.323,106.661,0.993,3,Classical & Ambient,Calm,variations dieu amour les mariages samnites gretry variation ii,1
Sleep Now,aswekeepsearching,ambient,0.221,0.224,0.559,100.03,0.89,17,Classical & Ambient,Sad,sleep now,1
"Send in the Clowns (From ""A Little Night Music"")",Collabro,opera,0.152,0.0646,0.264,153.945,0.948,25,Classical & Ambient,Sad,send clowns little night music,1
Living Hope,Bethel Music;Bethany Wohrle,ambient,0.185,0.712,0.414,143.957,0.0486,54,Classical & Ambient,Dark,living hope,1
If We're Being Honest,Novo Amor,ambient,0.126,0.432,0.498,132.928,0.888,46,Classical & Ambient,Melancholic,re being honest,1
Dietro Casa,Ludovico Einaudi,ambient,0.0293,0.0949,0.401,103.858,0.985,54,Classical & Ambient,Sad,dietro casa,1
"8 Variations on ""Laat ons juichen"" by C.E. Graaf in G, K.24: 3. Variation II",Wolfgang Amadeus Mozart;Danielle Laval,classical,0.674,0.0929,0.506,115.025,0.995,26,Classical & Ambient,Calm,variations laat ons juichen graaf variation ii,1
Haul (feat. Mohna),Christian Löffler;Mohna,ambient,0.174,0.207,0.634,117.981,0.434,53,Classical & Ambient,Sad,haul feat mohna,1
The Windmills of Your Mind / Les Moulins De Mon Coeur (Live),George Perris,opera,0.622,0.55,0.351,154.156,0.601,23,Classical & Ambient,Groovy,windmills mind les moulins de mon coeur live,1
Red Gold Yesterday,LUCHS,ambient,0.193,0.235,0.384,95.95,0.885,51,Classical & Ambient,Sad,red gold yesterday,1
The Dreams that Stuff is Made Of,Jóhann Jóhannsson,ambient,0.0773,0.0854,0.36,58.322,0.993,55,Classical & Ambient,Sad,dreams stuff made,1
Wrong Floor,Cliff Martinez,ambient,0.0372,0.0785,0.172,68.967,0.926,47,Classical & Ambient,Sad,wrong floor,1
